,FirstImprovementSearch,FirstChangeSearch,BestImprovementSearch,DeepSearch
935,20591,20494,19515,21359
936,20591,20494,19515,21359
937,20591,20494,19515,21359
938,20591,20494,19515,21359
939,20591,20494,19515,21359
940,20591,20494,19515,21359
941,20591,20494,19515,21359
942,20591,20494,19515,21359
943,20591,20494,19515,21359
944,20591,20494,19515,21359
945,20591,20494,19515,21359
946,20591,20494,19515,21359
947,20591,20494,19515,21359
948,20591,20494,19515,21359
949,20591,20494,19515,21359
950,20591,20494,19515,21359
951,20591,20494,19515,21359
952,20591,20494,19515,21359
953,20591,20494,19515,21359
954,20591,20494,19515,21359
955,20591,20494,19515,21359
956,20591,20494,19515,21359
957,20591,20494,19515,21359
958,20591,20494,19515,21359
959,20591,20494,19515,21359
960,20591,20494,19515,21359
961,20591,20494,19515,21359
962,20591,20494,19515,21359
963,20591,20494,19515,21359
964,20591,20494,19515,21359
965,20591,20494,19515,21359
966,20591,20494,19515,21359
967,20591,20494,19515,21359
968,20591,20494,19515,21359
969,20591,20494,19515,21359
970,20591,20494,19515,21359
971,20591,20494,19515,21359
972,20591,20494,19515,21359
973,20591,20494,19515,21359
974,20591,20494,19515,21359
975,20591,20494,19515,21359
976,20591,20494,19515,21359
977,20591,20494,19515,21359
978,20591,20494,19515,21359
979,20591,20494,19515,21359
980,20591,20494,19515,21359
981,20591,20494,19515,21359
982,20591,20494,19515,21359
